name,lat,lon,gmu,type,elevation
Indian Mountain,38.4749968,-105.6688905,58,peak,2623
Bear Mountain,38.4563859,-105.6613906,58,peak,2678
Garell Peak,38.433886,-105.6658356,58,peak,2495
Table Mountain,38.4702746,-105.6288894,58,peak,2783
Falls Gulch Mountain,38.4097196,-105.7208375,58,peak,2745
Cedar Springs Mountain,38.4024974,-105.7147263,58,peak,2653
Lookout Mountain,38.3499978,-105.5544448,691,peak,2560
Gem Mountain,38.2847207,-105.5513901,691,peak,2644
Democratic Mountain,38.2649987,-105.5350011,691,peak,2602
McIntyre Hills,38.4394415,-105.4602739,691,peak,2458
Deer Mountain,38.3274981,-105.4983325,691,peak,2586
McClure Mountain,38.3238871,-105.4841655,691,peak,2475
Elkhorn Mountain,38.3008317,-105.4927772,691,peak,2468
Red Mountain,38.2958318,-105.4858327,691,peak,2374
Curley Peak,38.3208328,-105.2988825,69,peak,2914
Nonans Peak,38.4416644,-105.2783244,691,peak,2088
Fremont Peak,38.4486086,-105.2830466,691,peak,2163
Baldy Mountain,38.4452753,-105.3116585,691,peak,2078
Y M C A Mountain,38.4263868,-105.2872138,691,peak,2114
Poverty Mountain,38.4027753,-105.4524965,691,peak,2518
Iron Mountain,38.3569426,-105.4274966,691,peak,2463
Horseshoe Mountain,38.3930537,-105.3527717,691,peak,2350
Dawson Mountain,38.3833318,-105.3052705,69,peak,2428
Tanner Peak,38.3624987,-105.3144378,69,peak,2845
Rito Alto Peak,38.1027769,-105.6616745,82,peak,4168
Hermit Peak,38.0916658,-105.6550078,86,peak,4043
Spread Eagle Peak,38.1252768,-105.6441735,86,peak,4048
Gibson Peak,38.0730546,-105.712232,82,peak,3907
Eureka Mountain,38.0791659,-105.6402855,86,peak,4088
Venable Peak,38.0546393,-105.6298125,82,peak,4015
Mount Owen,38.1391307,-105.7137105,82,peak,4044
Thirsty Peak,38.209443,-105.7366743,82,peak,4022
Eagle Peak,38.2291653,-105.7225068,86,peak,3995
Electric Peak,38.1816654,-105.7083408,86,peak,4137
Mount Niehardt,38.1763876,-105.7200078,82,peak,3907
De Anza Peak,38.1669432,-105.6869516,82,peak,4074
Clayton Cone,38.229166,-105.9797366,681,peak,2527
Cottonwood Peak,38.2194429,-105.7563968,86,peak,4144
Beckwith Mountain,38.1991658,-105.5180576,691,peak,2606
Beddows Mountain,38.22611,-105.5386132,691,peak,2590
Grouse Mountain,38.2241657,-105.5094457,691,peak,2573
Buck Mountain,38.2402767,-105.5272237,691,peak,2631
Mitchell Mountain,38.2369438,-105.4483327,691,peak,2563
Dora Mountain,38.2297218,-105.434999,691,peak,2549
Bull Domingo Hills,38.1813887,-105.4405558,69,peak,2548
Ben West Hill,38.1574998,-105.4600012,69,peak,2479
White Hills,38.1583332,-105.4472232,69,peak,2537
Silver Cliff Plateau,38.1519444,-105.441112,69,peak,2489
Round Mountain,38.1459853,-105.4251158,69,peak,2464
Bear Peak,38.1913898,-105.3274967,69,peak,2922
Mount Herring,38.1622232,-105.3405533,69,peak,2821
Sugarloaf,38.1327788,-105.3655546,84,peak,2770
Bunker Hill,38.1308344,-105.3519431,84,peak,2837
Kankakee Hill,38.1286123,-105.3458319,84,peak,2828
Mount Tyndall,38.1319458,-105.3327758,84,peak,2882
Stull Mountain,38.2261129,-105.1961035,69,peak,2960
Adobe Peak,38.2083354,-105.1922148,69,peak,3100
Holt Mountain,38.2077802,-105.1655474,69,peak,3015
Lead Mountain,38.1822244,-105.2069379,69,peak,2966
Hardscrabble Mountain,38.1919466,-105.1963818,69,peak,3164
Mock Hill,38.2063915,-105.1472135,69,peak,2975
Rudolph Mountain,38.1397256,-105.1563815,84,peak,3151
Bears Head,38.1686154,-105.0483223,84,peak,2332
Little Red Butte,38.1330606,-105.034989,84,peak,2392
Big Red Butte,38.1347273,-105.0244332,84,peak,2360
Spring Mountain,38.0533327,-105.6180633,86,peak,4031
Comanche Peak,38.0427772,-105.6150078,82,peak,4037
Horn Peak,38.0386107,-105.5861184,86,peak,4093
Little Horn Peak,38.0252774,-105.5841741,86,peak,4005
Fluted Peak,38.024444,-105.6013968,82,peak,4128
Mount Adams,38.0074996,-105.6047306,86,peak,4248
Rattlesnake Hill,38.1069453,-105.3861113,84,peak,2710
Knickerbacker Hill,38.1213899,-105.3747218,84,peak,2750
Iron Hill,38.1191677,-105.3711106,84,peak,2825
Mount Fairview,38.1150011,-105.3661105,84,peak,2848
Paris Hill,38.1119455,-105.368055,84,peak,2831
Concord Hill,38.1097235,-105.3572215,84,peak,2789
Democrat Hill,38.1066679,-105.3611105,84,peak,2790
Mount Robinson,38.1138903,-105.3452765,84,peak,2952
Pringle Hill,38.1050014,-105.3447212,84,peak,2885
Pennsylvania Hill,38.0925016,-105.3436103,84,peak,2712
Wakefield Hill,38.0900017,-105.3352767,84,peak,2806
Pocahontas Hill,38.1058349,-105.3330541,84,peak,2874
Antelope Butte,38.0583357,-105.2986096,84,peak,2841
Round Mountain,38.0908361,-105.2413849,84,peak,3367
Wixson Mountain,38.1019477,-105.1963833,84,peak,3295
Piltz Mountain,38.067503,-105.248052,84,peak,3127
Antelope Mountain,38.0600033,-105.2352742,84,peak,3274
Gobblers Knob,38.0791707,-105.1672162,84,peak,3270
Deer Peak,38.0411153,-105.1852729,84,peak,3523
Round Top Mountain,38.111671,-105.1099916,84,peak,3104
Scraggy Peaks,38.0933386,-105.0580459,84,peak,2783
Potato Mountain,38.0677836,-105.0516571,84,peak,2701
Saint Charles Peak,38.0202833,-105.1161044,84,peak,3593
Colony Baldy,37.9955555,-105.560563,86,peak,4174
Crestone Peak,37.9668836,-105.585452,82,peak,4359
Humboldt Peak,37.9761468,-105.5552935,86,peak,4289
Broken Hand Peak,37.9569444,-105.5666752,86,peak,4136
Milwaukee Peak,37.9477779,-105.5513972,82,peak,4124
Pico Aislado,37.9441667,-105.5588975,82,peak,4147
Music Mountain,37.9366668,-105.5486197,82,peak,4071
Marble Mountain,37.9550001,-105.5330633,86,peak,4041
Tiseras Peak,37.9241669,-105.5402863,82,peak,4140
Milwaukee Hill,37.8936112,-105.5911217,82,peak,3218
Cleveland Peak,37.9044447,-105.5433424,82,peak,4075
Beck Mountain,37.9477784,-105.4847288,86,peak,3278
Middle Knob,37.9194455,-105.4586174,86,peak,3105
Loco Hill,37.9238901,-105.4477836,86,peak,3002
Snowslide Mountain,37.9152784,-105.4913963,82,peak,3556
Blueberry Peak,37.9033341,-105.4786184,82,peak,3655
Blizzardine Peak,37.9002786,-105.4783407,86,peak,3618
Huckleberry Mountain,37.8969455,-105.4594512,861,peak,3339
Carbon Hill,37.8897235,-105.4480621,861,peak,3226
Greenhorn Mountain,37.8813972,-105.0133252,84,peak,3763
North Peak,37.9016745,-105.0322145,84,peak,3724
Mount Herard,37.8491666,-105.4945,82,peak,4070
Mount Zwischen,37.7913905,-105.4555644,82,peak,3649
Black Mountain,37.8513932,-105.2677788,84,peak,2748
Gardner Butte,37.7818971,-105.1455803,84,peak,2217
Santana Butte,37.8400078,-105.0611053,84,peak,2560
Badito Cone,37.777509,-105.0194381,84,peak,2728
Carbonate Mountain,37.6938914,-105.481122,861,peak,3751
Green Mountain,37.6619488,-105.3891745,861,peak,3467
Point of Rocks,37.7400046,-105.2919483,861,peak,2464
Slide Mountain,37.6394494,-105.3702852,861,peak,3750
Iron Mountain,37.6375066,-105.2538925,83,peak,3479
Little Sheep Mountain,37.7205618,-105.2111123,85,peak,2931
Sheep Mountain,37.682507,-105.1919454,85,peak,3237
Twin Peaks,37.5897264,-105.5191789,82,peak,4132
California Peak,37.6141705,-105.4986228,82,peak,4221
Iron Nipple,37.5936159,-105.4550103,861,peak,4096
Mount Lindsey,37.5839008,-105.444904,83,peak,4282
Ellingwood Point,37.5825877,-105.492546,82,peak,4282
Blanca Peak,37.5775315,-105.485665,83,peak,4374
Hamilton Peak,37.5580608,-105.475011,83,peak,4154
Lone Rock Hill,37.5944506,-105.3336178,83,peak,3030
Buck Mountain,37.5350067,-105.3705637,83,peak,3047
Rough Mountain,37.6022307,-105.1600008,85,peak,3395
Dump Mountain,37.5827861,-105.1841686,85,peak,2795
Mount Mestas,37.5827867,-105.1472229,85,peak,3524
Silver Mountain,37.615287,-105.1033321,85,peak,3208
Cross Mountain,37.5019546,-105.1230564,85,peak,2757
Cat Mountain,37.3955659,-105.299454,83,peak,3039
Harrison Peak,37.4011227,-105.1722278,83,peak,3534
Goemmer Butte,37.4733452,-105.0427765,85,peak,2419
North White Peak,37.3761243,-105.0794469,85,peak,3072
Kruger Mountain,37.4466783,-105.1038905,85,peak,2874
Sierro del Ojito,37.2841765,-105.790297,81,peak,2475
Saddleback Mountain,37.265843,-105.8414093,81,peak,2425
Ojito Peak,37.3286231,-105.2844559,83,peak,3173
Park Mountain,37.3602903,-105.161673,85,peak,3555
Steep Mountain,37.3411241,-105.1583401,85,peak,3665
Teddys Peak,37.3408462,-105.1658405,85,peak,3824
Trinchera Peak,37.2891801,-105.1647769,85,peak,4118
Boyd Mountain,37.3350137,-105.1041712,85,peak,3164
Middle White Peak,37.365569,-105.0819473,85,peak,3144
South White Peak,37.3497359,-105.0816699,85,peak,3183
Flat Top,37.2125115,-105.8080746,81,peak,2807
Music Mesa,37.2347342,-105.6764053,83,peak,2614
Brownie Hills,37.2158456,-105.7130725,83,peak,2421
Sugar Loaf,37.194735,-105.7414061,81,peak,2399
San Pedro Mesa,37.0458538,-105.4497314,83,peak,2807
Hayrack Mountain,37.2061287,-105.0333361,85,peak,2623
Kiowa Hill,37.0883485,-105.8039061,81,peak,2389
Mesita Hill,37.1081666,-105.6345582,83,peak,2375
Culebra Peak,37.1223405,-105.1858008,83,peak,4283
Red Mountain,37.112242,-105.1811176,851,peak,4237
Vermejo Peak,37.0941871,-105.1911174,83,peak,4186
Purgatoire Peak,37.0725211,-105.2105618,851,peak,4167
State Line Peak,36.9964124,-105.2966722,83,peak,3920
Raspberry Butte,39.219991,-104.9088704,51,peak,2343
Monkey Face,39.2197132,-104.9010925,51,peak,2347
Spruce Mountain,39.1552692,-104.89887,51,peak,2320
Eagle Mountain,39.1708246,-104.8899808,51,peak,2262
Larkspur Butte,39.2263799,-104.8666468,104,peak,2291
Corner Mountain,39.2127689,-104.8372014,104,peak,2271
Nemrick Butte,39.2091578,-104.8222009,104,peak,2279
Rattlesnake Butte,39.197769,-104.8433127,104,peak,2307
True Mountain,39.1486027,-104.8347013,104,peak,2374
Bald Mountain,39.1377694,-104.8488684,104,peak,2402
Best Butte,39.1569359,-104.7852552,104,peak,2297
Lincoln Mountain,39.1744358,-104.759421,104,peak,2254
Bucks Mountain,39.1613804,-104.7427538,104,peak,2264
Eagle Rock,39.2233207,-104.2627402,105,peak,1898
Raspberry Mountain,39.0919362,-104.9277598,511,peak,2626
Chautauqua Mountain,39.1127695,-104.9302599,511,peak,2542
Sundance Mountain,39.1213805,-104.9291488,511,peak,2502
Ben Lomand Mountain,39.1216584,-104.9035925,511,peak,2317
Elephant Rock,39.1186028,-104.8905364,511,peak,2247
Monument Rock,39.0880475,-104.9044258,511,peak,2198
Mount Herman,39.0818308,-104.9262852,511,peak,2727
Cathedral Rock,39.0294367,-104.90137,512,peak,2222
Spruce Hill,39.1052698,-104.7402538,110,peak,2321
Table Rock,39.1205471,-104.6733072,110,peak,2264
Vollmer Hill,39.0256182,-104.6651136,110,peak,2347
Rattlesnake Butte,39.0708248,-104.5130245,110,peak,2256
Fremont Fort,39.1222122,-104.4146886,110,peak,2166
Ormes Peak,38.9505471,-104.9347026,511,peak,2963
Blodgett Peak,38.9588608,-104.9071677,511,peak,2873
Devils Kitchen,38.958325,-104.9308138,511,peak,2785
Austin Bluffs,38.9011042,-104.7999757,110,peak,2034
Holcolm Hills,38.9691583,-104.3185752,110,peak,2111
Almagre Mountain,38.7913758,-104.9938636,59,peak,3768
Stove Mountain,38.7661001,-104.9205289,59,peak,2984
Mount Rosa,38.754154,-104.948029,59,peak,3507
Mount Cutler,38.7877686,-104.8774737,59,peak,2200
Kineo Mountain,38.7902668,-104.9310854,59,peak,2882
Mays Peak,38.8013792,-104.8963632,59,peak,2525
Mount Buckhorn,38.8002679,-104.9033078,59,peak,2548
Mount Garfield,38.8074888,-104.9477528,59,peak,3327
Mount Arthur,38.8094334,-104.9419195,59,peak,3293
Marys Mountain,38.8341553,-104.9733098,59,peak,3004
Sheep Mountain,38.8405445,-104.9655321,59,peak,2988
Mount Manitou,38.8647116,-104.9638664,59,peak,2877
Cameron Cone,38.8313779,-104.9544205,59,peak,3263
Rocky Mountain,38.8597117,-104.9574772,59,peak,2816
Eagle Mountain,38.8430453,-104.9388652,59,peak,2750
Red Mountain,38.8513791,-104.9213652,59,peak,2248
Iron Mountain,38.8490629,-104.9132547,59,peak,2175
Sugarloaf Mountain,38.8411013,-104.9160871,59,peak,2315
The Horns,38.7577688,-104.8666395,59,peak,2797
Black Mountain,38.6894346,-104.9585862,59,peak,3089
Green Mountain,38.6966564,-104.9630304,59,peak,3084
Blue Mountain,38.6936024,-104.9158079,59,peak,2999
Mount Big Chief,38.7374873,-104.97414,59,peak,3404
McKinley Peak,38.7261003,-104.9366403,59,peak,3180
San Luis Peak,38.726656,-104.9324735,59,peak,3174
Mount Vigil,38.7269341,-104.9221958,59,peak,3055
Saint Peters Dome,38.7472115,-104.9116395,59,peak,2943
Sugarloaf Mountain,38.733323,-104.9149732,59,peak,2934
Gray Back Peak,38.71138,-104.8999738,59,peak,2847
Crows Roost,38.7249963,-104.3788531,118,peak,1740
Mount Pittsburg,38.6169384,-104.9349772,59,peak,2495
Wild Mountain,38.5433304,-104.9477579,591,peak,2037
Buck Hill,38.5277762,-104.8630341,591,peak,1940
The Buttes,38.5972203,-104.6483054,118,peak,1638
Big Hill,38.2875024,-104.6233078,84,peak,1470
Boone Hill,38.2752795,-104.1905193,123,peak,1465
Rock Creek Hill,38.1294497,-104.816371,84,peak,1740
Turtle Buttes,38.0819506,-104.9094302,84,peak,1949
Sugarloaf Mountain,38.0652843,-104.9777659,84,peak,1996
Mount Signal,38.0591733,-104.9680435,84,peak,2241
Hogback Mountain,38.0475068,-104.9785996,84,peak,2266
Beulah Hill,38.070562,-104.9519317,84,peak,1900
Muldoon Hill,38.1185868,-104.8622241,84,peak,1720
Maggies Knob,38.0486177,-104.6622005,128,peak,1634
Goat Butte,38.0288957,-104.5516417,128,peak,1693
Booth Mountain,38.4913883,-104.869424,591,peak,1965
White Butte,38.4649999,-104.8080336,591,peak,1764
Beacon Hill,38.4011118,-104.6158065,123,peak,1534
Table Mountain,37.9445305,-104.9096857,84,peak,2146
Huckleberry Hills,37.9350081,-104.9733231,84,peak,2319
Haystack,37.9497303,-104.423028,128,peak,1657
Sawtooth Peak,37.9480637,-104.4169167,128,peak,1687
Cone Pinnacle,37.9002865,-104.2999697,128,peak,1590
Hayden Butte,37.8538981,-104.9016551,84,peak,2088
Huerfano Butte,37.7538998,-104.8269316,128,peak,1877
North Rattlesnake Butte,37.7719557,-104.4555301,128,peak,1957
Blue Hill,37.7952884,-104.3210819,133,peak,1744
Haystack Butte,37.837232,-104.244413,128,peak,1625
Black Hills,37.6636215,-104.9919386,85,peak,2284
Walsen Crag,37.6272344,-104.8219328,85,peak,2045
Bradford Mesa,37.7311229,-104.7241504,128,peak,1878
South Rattlesnake Butte,37.7405674,-104.454697,133,peak,1963
Bunker Hill,37.5011252,-104.6744289,85,peak,1973
Tombstone Hill,37.5439026,-104.6497055,133,peak,1902
West Spanish Peak,37.3757933,-104.9937378,85,peak,4140
East Spanish Peak,37.3936255,-104.9197177,85,peak,3859
Rugby Rock,37.4622368,-104.6702627,85,peak,2061
Bunker Hill,37.4900143,-104.6910963,85,peak,2081
T V Hill,37.3844599,-104.631374,85,peak,2176
Bald Knobs,37.2514062,-104.7444349,85,peak,2351
The Island,37.2266844,-104.8477727,85,peak,2293
Simpsons Rest,37.1814074,-104.5133186,85,peak,1965
Pio Hill,37.1744631,-104.4735955,140,peak,1861
Frijole Hill,37.1544635,-104.3880378,140,peak,1896
Mooney Hills,37.2377945,-104.2905338,141,peak,1746
Fishers Peak,37.0983539,-104.4627631,140,peak,2920
Baldy,37.0430776,-104.4827646,140,peak,2452
Fishers Peak Mesa,37.0816877,-104.4497075,140,peak,2887
Loma Mujer,37.0927985,-104.3702605,140,peak,2085
Burro Mesa,37.047691,-104.3446882,140,peak,2666
Mesita Negra,37.0739101,-104.3330375,140,peak,2133
McBride Butte,37.0458554,-104.209978,140,peak,1936
Nola Butte,37.0869656,-104.1171956,140,peak,1800
Plaza Butte,37.0211339,-104.0652495,140,peak,1838
Bobblers Knob,36.9989121,-104.4016518,140,peak,2661
Little Dome,37.5361248,-104.4635889,133,peak,1904
Mica Butte,37.6105684,-104.3527514,133,peak,1743
Brushy Knob,37.5983461,-104.3102503,133,peak,1734
Flattop Butte,37.5530409,-104.342029,133,peak,1845
Cone Mountain,37.5511244,-104.3344183,133,peak,1828
Gobblers Knob,37.566402,-104.2866389,133,peak,1729
Flat Top,39.576653,-103.5971705,106,peak,1648
Cheyenne Lookout,39.4322077,-103.7988436,106,peak,1758
Cedar Point,39.3702639,-103.8013434,106,peak,1825
Black Hills,38.510557,-103.5152175,120,peak,1428
Twin Buttes,38.9564796,-102.7343481,116,peak,1403
Landsman Hill,38.9475009,-102.5879744,116,peak,1419
Agate Mound,38.8783443,-102.5538726,116,peak,1372
Eureka Hill,38.9777757,-102.863817,115,peak,1443
Cow Butte,38.4566685,-103.6238324,120,peak,1457
Nero Hill,38.3075035,-103.7863389,124,peak,1409
Meredith Hill,38.1366733,-103.5918881,125,peak,1342
Miller Mesa,37.9308994,-103.4637424,130,peak,1320
Getchel Hill,37.925286,-103.1985418,130,peak,1291
Ninemile Hill,37.9430636,-103.197986,146,peak,1299
High Rock,37.8894528,-102.8977003,146,peak,1229
Eagle Nest,37.8541753,-103.1596522,146,peak,1274
Gobblers Knob,37.7644541,-102.6076939,146,peak,1307
Merker Hills,37.6658461,-103.9266249,135,peak,1520
Mothers Hill,37.6808447,-103.3060468,130,peak,1372
Round Mound,37.6593985,-103.1651766,130,peak,1399
Wildcat Hill,37.699177,-103.1688199,130,peak,1370
Two Buttes,37.6594559,-102.5421371,139,peak,1433
Tyler Hill,37.6008462,-104.1858018,134,peak,1767
Tater Hill,37.6002911,-104.0532969,134,peak,1621
O V Mesa,37.5144598,-103.6757829,147,peak,1650
Clark Hill,37.5130712,-103.5474444,136,peak,1611
Dave Wright Hill,37.6047364,-103.4802195,136,peak,1446
Long Canyon Hill,37.5264033,-103.3454926,136,peak,1519
Kim Hill,38.5666678,-103.3302122,121,peak,1382
Lone Mesa,37.615568,-103.2877127,137,peak,1515
Nelson Hill,37.5382519,-103.2087392,137,peak,1523
Alexander Mesa,37.5555686,-103.154931,137,peak,1525
Plug Hat,37.5604693,-103.1621213,137,peak,1486
Pinkney Hill,37.5847346,-103.1399305,137,peak,1504
Seven D Pocket,37.3516843,-103.5905028,136,peak,1705
Black Butte,37.4652925,-102.3485202,139,peak,1233
Miners Peak,37.1733533,-103.6999538,143,peak,1738
Lone Butte,37.1283532,-103.5866155,143,peak,2037
Huerfanita,37.1672415,-103.3804959,143,peak,1771
Frenchmans Butte,37.1350194,-103.4816106,143,peak,1811
Mesa de Maya,37.1033528,-103.5018893,143,peak,1996
Dalerose Mesa,37.151686,-103.4521651,143,peak,1862
Potato Butte,37.1722857,-103.1073764,143,peak,1668
Watervale Butte,37.0205784,-103.9621894,140,peak,1908
Saddle Rock,37.0019675,-103.9366329,140,peak,2204
The Corona,37.1189093,-103.6585635,143,peak,2080
Cotton Mesa,37.0580757,-103.5368913,143,peak,1827
Brushy Mountain,37.0341876,-103.6066172,143,peak,1875
Cerro Negro,37.0944641,-103.4099418,143,peak,1826
Little Black Mesa,37.0147414,-102.930206,144,peak,1441
Mount Arps,38.638607,-106.3797475,56,peak,3773
Greg Mace Peak,38.9986024,-106.8280948,471,peak,3826
Lake Hill,39.6135976,-106.0675193,37,peak,2845
Vail Mountain,39.6060971,-106.3564172,45,peak,3402
Rinker Peak,39.0366592,-106.4397489,48,peak,4185
Challenger Point,37.9802775,-105.606675,82,peak,4294
Mount Tweto,39.3222111,-106.1697438,49,peak,4151
Mount Sneffels,38.0037895,-107.7922692,65,peak,4315.4
Olga Little Mountain,37.4555537,-107.9839606,74,peak,3480
Riley Mountain,39.3308195,-106.6942016,47,peak,3150
Sugarloaf Peak,39.1785908,-107.8628426,421,peak,2792
Crampton Mountain,38.528607,-105.4744398,58,peak,2664
Mount Thomas,39.8669317,-105.448051,38,peak,2845
Father Dyer Peak,39.4310406,-106.1048623,37,peak,4144
Goddard Peak,40.511102,-102.3613007,98,peak,1215
Triangle Peak,39.3105407,-106.9108755,47,peak,2810
Twining Peak,39.1344344,-106.563364,48,peak,4155
Vagneur Mountain,39.2833191,-106.8183722,47,peak,3160
Willoughby Mountain,39.1427653,-106.9950451,43,peak,4004
Mount Galbraith,39.7647096,-105.2552673,38,peak,2209
Royal Mountain,39.5374883,-105.5663898,46,peak,3500
Hilliard Peak,39.0241572,-106.9094867,43,peak,4079
Malemute Peak,39.0202686,-106.8444843,43,peak,4039
Mount Shimer,39.0952675,-106.7278134,471,peak,3761
Precarious Peak,39.0172127,-106.9617109,43,peak,3994
Ryder Peaks,40.3624827,-106.4672568,181,peak,2774
Miranda Peak,37.1508517,-105.1669515,851,peak,4095
Mariquita Peak,37.2377076,-105.1527394,851,peak,4088
De Anza Peak,37.2241825,-105.1594533,83,peak,4049
Kiowa Peak,40.0480421,-105.624169,29,peak,4010
Mount Marcy,38.1458322,-105.6761185,86,peak,4113
Lakes Peak,38.199443,-105.726952,82,peak,4058
Mount Otto,38.3272205,-105.8827882,82,peak,3888
Turner Peak,38.8198259,-106.3785911,481,peak,4015
Lambertson Peak,38.9517511,-106.7555805,55,peak,3949
Granite Hills,38.883324,-105.2172094,581,peak,2809
Jim Robertson Mountain,40.9124668,-107.4536745,4,peak,2722
Little Emerson Peak,40.9124668,-107.4356184,4,peak,2716
Soda Mountain,40.5516436,-106.7167119,14,peak,3295
Big Owl Hill,40.25694,-105.03194,20,peak,1549
Tijeras Peak,37.9244446,-105.5402863,82,peak,4149
Mount Maxwell,37.2492038,-105.1535549,83,peak,4057
Popes Nose,37.5700008,-107.4003327,751,peak,3183
Harts Peak,37.6922176,-107.9895153,71,peak,3822
Long Trek Mountain,37.3861185,-106.680316,78,peak,3911
Park Point,37.2803901,-108.4614899,73,peak,2612
Cuatro Peak,37.2584266,-105.1544985,85,peak,4113
Francisco Peak,37.1822395,-105.1661191,851,peak,4009
Beaubien Peak,37.1964057,-105.1608415,851,peak,3789
Highlands Point,39.5116548,-104.9562426,51,peak,1925
Mount Machebeuf,39.7211881,-105.8569582,39,peak,3734
Mount Rhoda,37.7658308,-107.6056161,75,peak,4088
Plymouth HIll,38.0980574,-105.3238873,84,peak,2821
Lookout Mountain,38.127501,-105.3699992,84,peak,2856
Bassick Hill,38.1277792,-105.3330537,84,peak,2801
Mount Poor,38.6399957,-106.4019703,551,peak,3765
Mount Helmers,38.6449955,-106.4172485,56,peak,3896
Bald Mountain,38.0913907,-105.3255542,84,peak,2882
Mount Oklahoma,39.1788784,-106.5061402,47,peak,4213
Threemile Mountain,38.8630489,-105.6383342,58,peak,3038
Round Mountain,39.0305473,-105.4316642,50,peak,2601
Mount Candy,40.668029,-106.9094944,14,peak,2561
Plymouth Hill,38.098335,-105.3241651,84,peak,2825
Bald Mountain,38.0911129,-105.3261098,84,peak,2876
Gobblers Knob,38.3596062,-105.7362612,86,peak,2076
Pole Mountain,38.3549978,-105.7291718,86,peak,2130
Deadmans Hill,38.3363868,-105.6927821,86,peak,2272
Calumet Mountain,38.6402742,-105.9472333,57,peak,2954
Half Peak,37.8641641,-107.4661692,66,peak,4209
Holgate Mesa,39.3422056,-107.2378295,43,peak,2299
The Spider,39.7091525,-106.3125278,36,peak,3855
Loge Peak,39.1424264,-106.8736079,43,peak,3515
Little Agness Mountain,40.8402499,-106.7114303,14,peak,3421
The Saddle,39.8483189,-106.2083583,37,peak,2844
Palmer Knob,39.7894301,-106.2086361,371,peak,2686
Pecks Peak,38.974716,-106.3619688,481,peak,4042
Napoleon Mountain,38.6986061,-106.4644716,551,peak,3825
Gold Hill,38.7116616,-106.4761385,55,peak,3625
Carbonate Hill,38.737217,-106.4922499,55,peak,3330
Jack Hall Mountain,38.5433299,-105.7877827,58,peak,3345
Darley Mountain,37.9827729,-107.588115,65,peak,4040
Crow Valley Hill,40.7563705,-104.4663444,87,peak,1635
Agate Mountain,38.7888836,-105.7883377,58,peak,3046
Bill Couch Mountain,39.5369671,-105.1598454,461,peak,2151
Copper Mountain,38.4866636,-105.7661157,58,peak,2974
Matheson Hill,39.1770308,-103.8847629,111,peak,1819
Slick Rock Hill,38.0213813,-108.9176048,711,peak,1995
The Bears Ears,40.7466316,-108.6201068,2,peak,2239
Red Wash Butte,40.7813557,-108.1253648,3,peak,1909
Columbus Mountain,40.8796906,-107.1922788,5,peak,3119
Black Mountain,40.7913581,-107.3875618,4,peak,3299
Sawtooth Mountain,40.8196916,-107.2614473,4,peak,2907
City Mountain,40.8816356,-107.0022739,5,peak,2901
Red Elephant Mountain,40.882194,-106.6486498,161,peak,3521
Buck Mountain,40.8677492,-106.7392089,14,peak,3468
Pinkham Mountain,40.9360857,-106.2511342,6,peak,2824
Red Mountain,40.994699,-105.9350058,8,peak,2772
Green Mountain,40.9599819,-105.6316619,8,peak,2818
Steamboat Rock,40.8755144,-105.2300555,9,peak,2075
Middle Mountain,40.7591456,-105.8719535,8,peak,2835
Sheep Mountain,40.7713635,-106.5080894,161,peak,2860
Sand Mountain,40.7546935,-107.0467203,441,peak,3311
John Weller Mesa,40.5724659,-108.615661,2,peak,2106
Wild Mountain,40.5952407,-109.0198421,1,peak,2628
Cross Mountain,40.5221894,-108.3812072,11,peak,2382
Petes Post,40.3463576,-108.6287149,10,peak,2083
Flat Top Butte,40.8677628,-103.3529869,89,peak,1329
Simpson Mesa,40.9750043,-104.7591017,87,peak,1895
Gilman Mountain,40.8735944,-105.1174767,9,peak,1904
Agner Mountain,40.674694,-107.2397803,441,peak,2525
Duffy Mountain,40.3688611,-107.7686823,211,peak,2161
Iles Mountain,40.3716395,-107.6709013,211,peak,2296
Thornburgh Mountain,40.2216412,-107.7064566,12,peak,2463
Beaver Flat Tops,40.2174787,-107.3247792,12,peak,2893
Blair Mesa,40.1571925,-108.3645364,22,peak,1808
Black Mountain,40.100527,-108.1228602,11,peak,2196
Rabbit Mountain,39.8880271,-108.9856633,21,peak,2323
Park Mountain,39.8333055,-108.9806627,21,peak,2196
Oil Spring Mountain,39.7155307,-108.8764928,21,peak,2613
Upper 4A Mountain,39.6077536,-108.6159299,31,peak,2710
Brush Mountain,39.6485866,-108.61093,31,peak,2701
Owl Mountain,40.4683156,-106.0416857,171,peak,3338
Gould Mountain,40.5230375,-105.9911279,6,peak,3165
Bull Mountain,40.5672033,-106.0064056,6,peak,2959
Baker Mountain,40.3760927,-106.6008731,27,peak,2993
Lone Spring Butte,40.1294292,-106.8105994,15,peak,3126
Five Pine Mesa,40.0760962,-106.9372694,26,peak,2715
Mount Chauncey,40.0785969,-105.9994621,28,peak,2917
Three Points Mountain,40.1588646,-107.6264536,12,peak,2626
Egry Mesa,40.1785913,-107.2425549,12,peak,2554
Little Flat Tops,40.0913727,-107.0472726,231,peak,3419
Rat Mountain,39.9699807,-107.3750569,24,peak,3452
Trappers Peak,39.9413714,-107.2508882,24,peak,3650
Little Marvine Peaks,39.9888728,-107.1550524,231,peak,3441
Derby Peak,39.9735955,-107.1253294,26,peak,3716
Sheep Mountain,39.9224842,-107.1331071,25,peak,3733
