name,lat,lon,type,elevation,osm_id,osm_type,source,gmu
Stony Mountain,37.9822158,-107.7714502,peak,3871,358922861,node,openstreetmap,65
Mount Emma,37.9749936,-107.7903397,peak,4138,358922865,node,openstreetmap,70
Mendota Peak,37.9611049,-107.7783951,peak,4039,358922867,node,openstreetmap,65
Coonskin Mountain,37.9324939,-107.8328413,peak,3222,358922869,node,openstreetmap,70
Ajax Peak,37.9286055,-107.7556171,peak,3895,358922875,node,openstreetmap,70
Turkey Creek Mesa,37.8916609,-107.8622871,peak,3309,358922877,node,openstreetmap,70
Bald Mountain,37.8963832,-107.846731,peak,3612,358922879,node,openstreetmap,70
Gold Hill,37.8941611,-107.8233971,peak,3876,358922882,node,openstreetmap,70
Palmyra Peak,37.8836056,-107.8292307,peak,4039,358922885,node,openstreetmap,70
Wasatch Mountain,37.8899946,-107.7958964,peak,4127,358922887,node,openstreetmap,70
Ballard Mountain,37.9119388,-107.7903404,peak,3907,358922891,node,openstreetmap,70
Ingram Peak,37.9149945,-107.7583951,peak,3823,358922894,node,openstreetmap,70
La Junta Peak,37.896939,-107.7870072,peak,4098,358922898,node,openstreetmap,70
Three Needles,37.8899949,-107.7561731,peak,4104,358922901,node,openstreetmap,70
Potosi Peak,37.9897158,-107.7495051,peak,4195,358922908,node,openstreetmap,65
Chicago Peak,37.9427721,-107.7442278,peak,4067,358922911,node,openstreetmap,70
Telluride Peak,37.9247062,-107.7358582,peak,4117,358922914,node,openstreetmap,70
Brown Mountain,37.9208287,-107.6378379,peak,4062,358922917,node,openstreetmap,74
United States Mountain,37.9566608,-107.7392276,peak,3967,358922920,node,openstreetmap,65
Hayden Mountain,37.9544389,-107.7025606,peak,4028,358922923,node,openstreetmap,65
Abrams Mountain,37.9622171,-107.6406155,peak,3905,358922936,node,openstreetmap,74
Trico Peak,37.9055504,-107.7383948,peak,4054,358922938,node,openstreetmap,70
Red Mountain Number 2,37.912773,-107.6825607,peak,3721,358922940,node,openstreetmap,65
Red Mountain Number 3,37.9014863,-107.6891546,peak,3925,358922943,node,openstreetmap,65
McMillan Peak,37.8802733,-107.6897833,peak,3903,358922945,node,openstreetmap,74
Red Mountain Number 1,37.9102732,-107.6622828,peak,3832,358922948,node,openstreetmap,65
Engineer Mountain,37.9702731,-107.5883928,peak,4026,358922951,node,openstreetmap,65
Dolly Varden Mountain,37.9922177,-107.5428368,peak,3941,358922955,node,openstreetmap,66
Gravel Mountain,37.959718,-107.5411702,peak,4136,358922958,node,openstreetmap,66
Houghton Mountain,37.9405513,-107.5864484,peak,3974,358922960,node,openstreetmap,74
Tuttle Mountain,37.9338844,-107.6122821,peak,3999,358922963,node,openstreetmap,74
Seigal Mountain,37.957192,-107.5637434,peak,4039,358922965,node,openstreetmap,74
Denver Hill,37.9513845,-107.578115,peak,3747,358922972,node,openstreetmap,74
Cinnamon Mountain,37.9297183,-107.5458925,peak,4063,358922982,node,openstreetmap,75
Wood Mountain,37.947496,-107.537836,peak,4158,358922988,node,openstreetmap,66
Edith Mountain,37.9424963,-107.5128365,peak,3846,358922994,node,openstreetmap,66
Hurricane Peak,37.9147179,-107.6214489,peak,4095,358922999,node,openstreetmap,74
California Mountain,37.9182539,-107.6039062,peak,4018,358923002,node,openstreetmap,74
Hanson Peak,37.9080514,-107.6097822,peak,4100,358923006,node,openstreetmap,74
Bonita Peak,37.8969402,-107.623949,peak,4043,358923010,node,openstreetmap,74
Emery Peak,37.8883293,-107.6211713,peak,4053,358923015,node,openstreetmap,74
Treasure Mountain,37.9147182,-107.5836708,peak,3908,358923019,node,openstreetmap,74
Eureka Mountain,37.8986073,-107.5825596,peak,3940,358923024,node,openstreetmap,74
Handies Peak,37.9129884,-107.504452,peak,4284.8,358923027,node,openstreetmap,66
Jones Mountain,37.8965475,-107.5265406,peak,4215,358923032,node,openstreetmap,75
Niagara Peak,37.889343,-107.5335375,peak,4202,358923036,node,openstreetmap,75
Crown Mountain,37.8799008,-107.5367353,peak,4120,358923040,node,openstreetmap,75
Whitecross Mountain,37.9305521,-107.4931141,peak,4112,358923045,node,openstreetmap,66
Seventyone Mountain,37.9617742,-107.2570309,peak,3678,358923058,node,openstreetmap,66
Grassy Mountain,37.956664,-107.3442226,peak,3893,358923062,node,openstreetmap,66
Wilson Peak,37.8604304,-107.984691,peak,4274,358923075,node,openstreetmap,70
Gladstone Peak,37.8449792,-107.982947,peak,4230,358923079,node,openstreetmap,70
Mount Wilson,37.8392109,-107.9916312,peak,4344,358923083,node,openstreetmap,71
Sunshine Mountain,37.8583249,-107.9339437,peak,3943,358923087,node,openstreetmap,70
Lizard Head,37.8358276,-107.9506236,peak,3961,358923092,node,openstreetmap,70
San Bernardo Mountain,37.8472166,-107.9086779,peak,3608,358923097,node,openstreetmap,70
Cross Mountain,37.8321297,-107.9689626,peak,3871,358923101,node,openstreetmap,71
Black Face,37.8238207,-107.9213397,peak,3682,358923105,node,openstreetmap,70
Sheep Mountain,37.7852731,-107.8861781,peak,4016,358923118,node,openstreetmap,71
Yellow Mountain,37.834995,-107.8495097,peak,3924,358923130,node,openstreetmap,70
Lookout Peak,37.8622173,-107.7803407,peak,4151,358923137,node,openstreetmap,70
South Lookout Peak,37.8372175,-107.7903412,peak,4032,358923143,node,openstreetmap,70
Pilot Knob,37.8116621,-107.8289538,peak,4170,358923150,node,openstreetmap,70
Golden Horn,37.8047177,-107.8247871,peak,4188,358923156,node,openstreetmap,70
Vermilion Peak,37.7991623,-107.8283984,peak,4212,358923162,node,openstreetmap,70
Fuller Peak,37.7958289,-107.821176,peak,4177,358923168,node,openstreetmap,74
Ulysses S Grant Peak,37.8244398,-107.8070086,peak,4180,358923174,node,openstreetmap,74
San Miguel Peak,37.7791622,-107.864233,peak,4186,358923182,node,openstreetmap,71
Grizzly Peak,37.7561069,-107.862011,peak,4186,358923188,node,openstreetmap,71
Beattie Peak,37.7899957,-107.8247873,peak,4056,358923194,node,openstreetmap,74
Rolling Mountain,37.7661071,-107.8261765,peak,4171,358923201,node,openstreetmap,74
Twin Sisters,37.770274,-107.7886754,peak,3968,358923206,node,openstreetmap,74
Ohio Peak,37.860829,-107.6986725,peak,3856,358923213,node,openstreetmap,74
Storm Peak,37.8591628,-107.6475606,peak,4086,358923219,node,openstreetmap,74
Bear Mountain,37.7947185,-107.7328403,peak,3951,358923222,node,openstreetmap,74
Anvil Mountain,37.8377737,-107.707284,peak,3818,358923227,node,openstreetmap,74
Kendall Mountain,37.7933304,-107.6289496,peak,4046,358923235,node,openstreetmap,75
Sultan Mountain,37.7858299,-107.703951,peak,4062,358923239,node,openstreetmap,74
Grand Turk,37.7766635,-107.6956176,peak,4008,358923244,node,openstreetmap,74
Tower Mountain,37.8572185,-107.6231159,peak,4119,358923248,node,openstreetmap,74
Dome Mountain,37.8608298,-107.60006,peak,4078,358923253,node,openstreetmap,74
Macomber Peak,37.8449965,-107.6222827,peak,3909,358923256,node,openstreetmap,74
Middle Mountain,37.8480526,-107.5450592,peak,3953,358923261,node,openstreetmap,75
King Solomon Mountain,37.8077749,-107.593949,peak,4014,358923265,node,openstreetmap,75
Hazelton Mountain,37.8016637,-107.6225606,peak,3800,358923270,node,openstreetmap,75
Round Mountain,37.7958304,-107.6133939,peak,3915,358923274,node,openstreetmap,75
Little Giant Peak,37.7963861,-107.5989491,peak,4075,358923278,node,openstreetmap,75
Galena Mountain,37.8280527,-107.5617262,peak,4033,358923282,node,openstreetmap,75
Green Mountain,37.7944419,-107.5617263,peak,3977,358923287,node,openstreetmap,75
Canby Mountain,37.799442,-107.5458927,peak,4102,358923291,node,openstreetmap,75
Kendall Peak,37.7872194,-107.618394,peak,4103,358923294,node,openstreetmap,75
Sugarloaf,37.7733309,-107.5886713,peak,3882,358923299,node,openstreetmap,75
Whitehead Peak,37.7599976,-107.6067272,peak,4045,358923303,node,openstreetmap,75
Sheep Mountain,37.7833312,-107.5178367,peak,4051,358923309,node,openstreetmap,76
Greenhalgh Mountain,37.784998,-107.5045031,peak,4027,358923313,node,openstreetmap,76
Carson Peak,37.8574978,-107.4020013,peak,4164,358923317,node,openstreetmap,66
Bent Peak,37.8606767,-107.3805617,peak,3974,358923322,node,openstreetmap,66
Pole Creek Mountain,37.7958316,-107.4311685,peak,4174,358923327,node,openstreetmap,76
Finger Mesa,37.7825864,-107.3218817,peak,3749,358923330,node,openstreetmap,76
Hermosa Peak,37.709718,-107.9284022,peak,3816,358923348,node,openstreetmap,74
Blackhawk Mountain,37.6852733,-107.9875708,peak,3855,358923353,node,openstreetmap,71
Whitecap Mountain,37.67444,-107.9942378,peak,3770,358923357,node,openstreetmap,71
Section Point,37.7030512,-107.9578476,peak,3635,358923360,node,openstreetmap,74
Jura Knob,37.7372187,-107.8020093,peak,3846,358923365,node,openstreetmap,74
Grayrock Peak,37.6738857,-107.8628448,peak,3811,358923370,node,openstreetmap,74
Engineer Mountain,37.6991637,-107.8070097,peak,3940,358923373,node,openstreetmap,74
Coal Bank Hill,37.6902751,-107.776731,peak,3222,358923378,node,openstreetmap,74
Potato Hill,37.6724977,-107.7667307,peak,3612,358923383,node,openstreetmap,74
North Twilight Peak,37.6691647,-107.7281186,peak,3982,358923402,node,openstreetmap,74
Snowdon Peak,37.7077755,-107.688951,peak,3985,358923407,node,openstreetmap,74
Mount Garfield,37.6947204,-107.6364499,peak,3983,358923410,node,openstreetmap,75
Point Pun,37.6869427,-107.6303387,peak,3998,358923414,node,openstreetmap,75
Twilight Peak,37.6630537,-107.7270075,peak,4007,358923418,node,openstreetmap,74
South Twilight Peak,37.6591648,-107.7236741,peak,3992,358923422,node,openstreetmap,74
West Needle Mountain,37.6494427,-107.7217296,peak,3981,358923427,node,openstreetmap,74
Needle Mountains Peak Fourteen,37.6524986,-107.655617,peak,3797,358923437,node,openstreetmap,75
Needle Mountains Peak Fifteen,37.6286101,-107.6361721,peak,4157,358923445,node,openstreetmap,75
Needle Mountains Peak Sixteen,37.628888,-107.6281163,peak,4048,358923453,node,openstreetmap,75
The Index,37.6441655,-107.6331165,peak,4081,358923456,node,openstreetmap,75
Animas Mountain,37.6433322,-107.629227,peak,4191,358923461,node,openstreetmap,75
Pigeon Peak,37.6324989,-107.6461723,peak,4247,358923465,node,openstreetmap,75
Turret Peak,37.627499,-107.6397833,peak,4211,358923469,node,openstreetmap,75
Little Finger,37.6283323,-107.6322831,peak,4032,358923473,node,openstreetmap,75
Needle Mountains Peak One,37.6974987,-107.5572817,peak,4138,358923479,node,openstreetmap,751
Needle Mountains Peak Two,37.708054,-107.5739487,peak,4058,358923485,node,openstreetmap,75
Needle Mountains Peak Three,37.6963874,-107.5775598,peak,4095,358923488,node,openstreetmap,75
Needle Mountains Peak Four,37.6599988,-107.6075603,peak,4089,358923492,node,openstreetmap,75
Needle Mountains Peak Five,37.6569433,-107.5967267,peak,4026,358923495,node,openstreetmap,75
Needle Mountains Peak Six,37.6602767,-107.5850598,peak,4172,358923499,node,openstreetmap,751
Needle Mountains Peak Seven,37.6677767,-107.5739485,peak,4158,358923504,node,openstreetmap,75
Needle Mountains Peak Eight,37.67111,-107.5670039,peak,4022,358923507,node,openstreetmap,751
Needle Mountains Peak Nine,37.6697212,-107.5600593,peak,4085,358923513,node,openstreetmap,751
Needle Mountains Peak Ten,37.6433323,-107.6056158,peak,3545,358923518,node,openstreetmap,75
Needle Mountains Peak Eleven,37.6286103,-107.6058936,peak,4116,358923523,node,openstreetmap,75
Needle Mountains Peak Thirteen,37.6405545,-107.624783,peak,4161,358923526,node,openstreetmap,75
Electric Peak,37.6988872,-107.6172829,peak,4049,358923529,node,openstreetmap,75
Graystone Peak,37.6894428,-107.6195051,peak,4109,358923533,node,openstreetmap,75
Arrow Peak,37.6927762,-107.6100605,peak,4204,358923537,node,openstreetmap,75
Vestal Peak,37.6894429,-107.6025603,peak,4201,358923545,node,openstreetmap,75
White Dome,37.7041654,-107.5464481,peak,4155,358923549,node,openstreetmap,75
Trinity Peaks,37.6849987,-107.581171,peak,4210,358923553,node,openstreetmap,75
Storm King Peak,37.6766656,-107.5595038,peak,4187,358923557,node,openstreetmap,751
Mount Silex,37.6702768,-107.5481146,peak,4151,358923560,node,openstreetmap,751
Hunchback Mountain,37.7052765,-107.5314478,peak,4001,358923564,node,openstreetmap,751
Mount Nebo,37.6761103,-107.5083916,peak,4018,358923568,node,openstreetmap,751
The Heisspitz,37.6644431,-107.6222829,peak,4037,358923572,node,openstreetmap,75
Gray Needle,37.646388,-107.5892265,peak,4063,358923576,node,openstreetmap,75
Jagged Mountain,37.6455547,-107.5839486,peak,4213,358923580,node,openstreetmap,751
Monitor Peak,37.6377768,-107.6247829,peak,4142,358923584,node,openstreetmap,75
Knife Point,37.638888,-107.5947822,peak,4036,358923588,node,openstreetmap,75
Glacier Point,37.6261103,-107.6142271,peak,4162,358923594,node,openstreetmap,75
Twin Thumbs,37.6283325,-107.6089491,peak,4032,358923600,node,openstreetmap,75
Sunlight Peak,37.6274221,-107.5958515,peak,4287,358923608,node,openstreetmap,75
Leviathan Peak,37.6530547,-107.574504,peak,4117,358923611,node,openstreetmap,751
Vallecito Mountain,37.650277,-107.5661705,peak,4089,358923616,node,openstreetmap,751
The Guardian,37.6636103,-107.5403366,peak,4151,358923621,node,openstreetmap,751
Timber Hill,37.7474987,-107.4500576,peak,3293,358923626,node,openstreetmap,76
Rio Grande Pyramid,37.6797219,-107.3925559,peak,4204,358923629,node,openstreetmap,76
Simpson Mountain,37.7061107,-107.3514443,peak,3932,358923633,node,openstreetmap,76
River Hill,37.7384662,-107.2128506,peak,2926,358923637,node,openstreetmap,76
Chief Mountain,37.6366679,-107.2089402,peak,3952,358923645,node,openstreetmap,76
Antelope Mountain,37.7486121,-107.0503263,peak,3097,358923650,node,openstreetmap,76
Hogback Mountain,37.7336126,-107.0217142,peak,2832,358923654,node,openstreetmap,76
Baldy Mountain,37.6886126,-107.1117161,peak,3807,358923658,node,openstreetmap,76
Castle Rock,37.6008312,-107.830622,peak,3169,358923669,node,openstreetmap,74
Tank Mesa,37.5724993,-107.7075627,peak,3611,358923724,node,openstreetmap,75
Stag Mesa,37.5699995,-107.6897845,peak,3713,358923732,node,openstreetmap,75
Lime Mesa,37.5597219,-107.6758953,peak,3686,358923738,node,openstreetmap,75
Mount Kennedy,37.5891871,-107.6270817,peak,3962,358923750,node,openstreetmap,75
Mount Eolus,37.6217842,-107.622655,peak,4295,358923756,node,openstreetmap,75
Windom Peak,37.6213097,-107.5918424,peak,4296,358923760,node,openstreetmap,75
Jupiter Mountain,37.6124995,-107.5920043,peak,4212,358923766,node,openstreetmap,751
Hope Mountain,37.599444,-107.5911709,peak,3953,358923771,node,openstreetmap,751
Aztec Mountain,37.5916663,-107.6158937,peak,4057,358923776,node,openstreetmap,75
Bullion Mountain,37.5847219,-107.6042267,peak,4009,358923780,node,openstreetmap,75
Florida Mountain,37.582222,-107.5939486,peak,3967,358923782,node,openstreetmap,751
Mount Valois,37.5741667,-107.5847818,peak,4017,358923789,node,openstreetmap,75
Silver Mesa,37.582222,-107.6011711,peak,3981,358923794,node,openstreetmap,751
Greylock Mountain,37.6177773,-107.5700593,peak,4134,358923803,node,openstreetmap,751
Grizzly Peak,37.6074996,-107.582004,peak,4158,358923807,node,openstreetmap,751
Thunder Mountain,37.6047219,-107.5606146,peak,3992,358923811,node,openstreetmap,751
McCauley Peak,37.5974997,-107.578115,peak,4116,358923814,node,openstreetmap,751
Echo Mountain,37.5913887,-107.5717259,peak,4051,358923819,node,openstreetmap,751
Irving Peak,37.5950001,-107.5095021,peak,4024,358923825,node,openstreetmap,751
Sheep Mountain,37.5461245,-102.5574154,peak,1302,358923829,node,openstreetmap,139
Emerson Mountain,37.5572225,-107.5650589,peak,3968,358923833,node,openstreetmap,751
Amherst Mountain,37.565278,-107.5595032,peak,4013,358923837,node,openstreetmap,751
Organ Mountain,37.567778,-107.5536698,peak,3970,358923843,node,openstreetmap,751
Sheridan Mountain,37.5358337,-107.5847816,peak,3885,358923854,node,openstreetmap,75
Table Mountain,37.5472229,-107.4945014,peak,3565,358923863,node,openstreetmap,751
Mount Oso,37.6072222,-107.4936685,peak,4158,358923866,node,openstreetmap,751
Peters Peak,37.6158333,-107.485335,peak,3994,358923871,node,openstreetmap,751
Buffalo Peak,37.6227777,-107.4845017,peak,3861,358923874,node,openstreetmap,751
Mesa Lato,37.6091671,-107.4011665,peak,3860,358923878,node,openstreetmap,751
Granite Peak,37.6044451,-107.3414428,peak,3254,358923882,node,openstreetmap,77
Bald Mountain,37.551668,-107.3347754,peak,3733,358923893,node,openstreetmap,751
Flag Mountain,37.5419457,-107.3675538,peak,3752,358923897,node,openstreetmap,751
Unnamed,37.5897972,-107.216272,peak,3821,358923901,node,openstreetmap,77
Piedra Peak,37.5752824,-107.0189344,peak,3757,358923909,node,openstreetmap,76
Palomino Mountain,37.5602823,-107.045046,peak,3724,358923913,node,openstreetmap,77
Toner Mountain,37.5077822,-107.1103248,peak,3808,358923917,node,openstreetmap,77
Sugarloaf Mountain,37.52556,-107.0917134,peak,3817,358923921,node,openstreetmap,77
Red Mountain,37.5200057,-107.0156004,peak,3835,358923925,node,openstreetmap,78
Beaver Hill,38.4033206,-107.9495097,peak,2030,358923939,node,openstreetmap,62
Sims Mesa,38.3822097,-107.8789516,peak,1989,358923947,node,openstreetmap,62
Waterdog Peak,38.387488,-107.6742252,peak,2865,358923999,node,openstreetmap,65
Hairpin Hill,38.4394315,-107.695058,peak,2541,358924002,node,openstreetmap,65
Coal Hill,38.4199878,-107.6361696,peak,2692,358924010,node,openstreetmap,65
Sheep Knob,38.4591544,-107.5828361,peak,2903,358924023,node,openstreetmap,64
McKenzie Butte,38.2586,-107.789782,peak,2442,358924065,node,openstreetmap,62
Storm King,38.3152671,-107.6372811,peak,3456,358924079,node,openstreetmap,65
Horse Mesa,38.3086016,-107.5247816,peak,2966,358924095,node,openstreetmap,65
Horse Mesa,38.314436,-107.435892,peak,3079,358924103,node,openstreetmap,65
High Mesa,38.2122145,-107.4953374,peak,3515,358924116,node,openstreetmap,65
Cap Mountain,38.2776233,-107.1523938,peak,2753,358924120,node,openstreetmap,66
Tolvar Peak,38.3119384,-107.1400521,peak,2892,358924124,node,openstreetmap,66
Iron Hill,38.2533277,-107.0533826,peak,2820,358924142,node,openstreetmap,67
Huntsman Mesa,38.2793648,-107.0201435,peak,3074,358924147,node,openstreetmap,67
Ninemile Hill,38.3591598,-107.083383,peak,2746,358924155,node,openstreetmap,67
Spruce Mountain,38.1705456,-107.9131198,peak,3009,358924171,node,openstreetmap,62
Horsefly Peak,38.1936007,-107.9314536,peak,3144,358924174,node,openstreetmap,62
Flat Top,38.1833231,-107.9392317,peak,3096,358924179,node,openstreetmap,62
Round Top,38.1630461,-107.7725598,peak,2244,358924199,node,openstreetmap,62
Burnt Mill Mesa,38.2161005,-107.8478397,peak,2546,358924208,node,openstreetmap,62
Onion Hill,38.1983242,-107.651448,peak,2476,358924218,node,openstreetmap,65
Sneva Mountain,38.1297147,-107.6156149,peak,2762,358924226,node,openstreetmap,65
Stealey Mountain,38.1505478,-107.6033927,peak,3119,358924230,node,openstreetmap,65
Courthouse Mountain,38.1350995,-107.5749479,peak,3695,358924235,node,openstreetmap,65
Dunsinane,38.1299932,-107.5395038,peak,3867,358924238,node,openstreetmap,65
Sheep Mountain,38.1588824,-107.4658923,peak,4016,358924244,node,openstreetmap,65
Alpine Point,38.220103,-107.3480481,peak,3509,358924250,node,openstreetmap,66
Baldy,38.2477716,-107.3483914,peak,3387,358924255,node,openstreetmap,66
Miller Hill,38.205828,-107.0347708,peak,3003,358924262,node,openstreetmap,67
Polepatch Hill,38.190828,-107.0061586,peak,3161,358924267,node,openstreetmap,67
Rudolph Hill,38.2228126,-107.0442504,peak,3087,358924271,node,openstreetmap,67
Hayden Peak,38.0305479,-107.9095091,peak,3946,358924279,node,openstreetmap,70
North Pole Peak,38.0386032,-107.9153425,peak,3694,358924284,node,openstreetmap,70
West Baldy,38.1177687,-107.9003418,peak,2981,358924287,node,openstreetmap,62
Mount Ridgway,38.0136043,-107.7531161,peak,4104,358924292,node,openstreetmap,65
Teakettle Mountain,38.0008267,-107.7617275,peak,4172,358924297,node,openstreetmap,65
South Baldy,38.0788807,-107.8331178,peak,2993,358924300,node,openstreetmap,65
Mears Peak,38.0091595,-107.8617301,peak,4097,358924305,node,openstreetmap,70
Wolcott Mountain,38.0161038,-107.8472853,peak,3971,358924309,node,openstreetmap,65
Cirque Mountain,38.0038822,-107.7717278,peak,4175,358924324,node,openstreetmap,65
Twin Peaks,38.0282361,-107.6923067,peak,3314,358924328,node,openstreetmap,65
Sister Peak,38.0283268,-107.6883933,peak,3134,358924334,node,openstreetmap,65
Cascade Mountain,38.0379033,-107.6413781,peak,3548,358924339,node,openstreetmap,65
Whitehouse Mountain,38.0205488,-107.7378381,peak,4118,358924347,node,openstreetmap,65
Baldy Peak,38.11027,-107.6811707,peak,3223,358924355,node,openstreetmap,65
Wildhorse Peak,38.0133281,-107.5775592,peak,4037,358924364,node,openstreetmap,65
Blackwall Mountain,38.0288836,-107.5647815,peak,3981,358924368,node,openstreetmap,65
Wetterhorn Peak,38.0607958,-107.5110101,peak,4274,358924372,node,openstreetmap,65
Coxcomb Peak,38.0799941,-107.5333925,peak,4149,358924376,node,openstreetmap,65
Redcliff,38.0872162,-107.5331147,peak,4154,358924379,node,openstreetmap,65
Precipice Peak,38.1193978,-107.5352152,peak,3845,358924384,node,openstreetmap,65
Broken Hill,38.0427731,-107.4717251,peak,4028,358924387,node,openstreetmap,66
Matterhorn Peak,38.06533,-107.4959827,peak,4119,358924392,node,openstreetmap,65
Uncompahgre Peak,38.0717523,-107.4625069,peak,4365,358924395,node,openstreetmap,66
Silver Mountain,38.1069389,-107.4495029,peak,4176,358924403,node,openstreetmap,66
Crystal Peak,38.0536071,-107.3739458,peak,3939,358924409,node,openstreetmap,66
Neoga Mountain,38.0333298,-107.3422785,peak,3323,358924413,node,openstreetmap,66
Station Eleven,38.024997,-107.2967221,peak,3270,358924437,node,openstreetmap,66
Mineral Mountain,38.0238849,-107.0058807,peak,3687,358924455,node,openstreetmap,66
Crested Butte,38.883325,-106.943655,peak,3704,358924463,node,openstreetmap,55
Teocalli Mountain,38.9602693,-106.8839301,peak,4013,358924467,node,openstreetmap,55
White Rock Mountain,38.9805468,-106.9275429,peak,4110,358924472,node,openstreetmap,55
Avery Peak,38.9855466,-106.9769893,peak,3854,358924476,node,openstreetmap,55
Snodgrass Mountain,38.9333249,-106.9900454,peak,3396,358924479,node,openstreetmap,55
Pearl Mountain,38.9811025,-106.8344839,peak,4056,358924482,node,openstreetmap,471
Carbonate Hill,38.9658249,-106.8253167,peak,3867,358924487,node,openstreetmap,55
Star Peak,38.9794359,-106.7997603,peak,4112,358924491,node,openstreetmap,471
Taylor Peak,38.9919358,-106.7825374,peak,4090,358924496,node,openstreetmap,471
Crystal Peak,38.9647692,-106.7915786,peak,3654,358924500,node,openstreetmap,55
Mount Tilton,38.9711027,-106.7644811,peak,3828,358924504,node,openstreetmap,55
Timbered Hill,38.9544361,-106.8258723,peak,3773,358924507,node,openstreetmap,55
Hunters Hill,38.9461042,-104.7877543,peak,2006,358924512,node,openstreetmap,110
Italian Mountain,38.9455475,-106.752536,peak,4023,358924515,node,openstreetmap,55
American Flag Mountain,38.9327699,-106.7180904,peak,3875,358924520,node,openstreetmap,55
Forest Hill,38.8963815,-106.6786446,peak,3795,358924524,node,openstreetmap,55
Jenkins Mountain,38.9652706,-106.5433628,peak,4081,358924546,node,openstreetmap,55
Grizzly Peak,38.9424931,-106.5219732,peak,4050,358924550,node,openstreetmap,55
Red Mountain,38.7683268,-106.9269873,peak,3544,358924557,node,openstreetmap,54
Whetstone Mountain,38.8222152,-106.9800451,peak,3807,358924561,node,openstreetmap,54
Strand Hill,38.8724924,-106.8775407,peak,3123,358924569,node,openstreetmap,55
Round Mountain,38.7799933,-106.8533729,peak,3317,358924573,node,openstreetmap,55
East Cement Mountain,38.7899931,-106.7905923,peak,3664,358924576,node,openstreetmap,55
Cement Mountain,38.8072152,-106.813649,peak,3721,358924580,node,openstreetmap,55
Point Lookout,38.8511037,-106.850873,peak,3422,358924584,node,openstreetmap,55
Paint Mountain,38.7655491,-106.6972555,peak,3111,358924588,node,openstreetmap,55
Baldy Mountain,38.7911046,-106.6558656,peak,3545,358924593,node,openstreetmap,55
South Matchless Mountain,38.8169377,-106.6614214,peak,3717,358924597,node,openstreetmap,55
Rocky Point,38.8630487,-106.6364209,peak,3589,358924600,node,openstreetmap,55
Matchless Mountain,38.83416,-106.6450321,peak,3777,358924605,node,openstreetmap,55
Boston Peak,38.851937,-106.7444796,peak,3567,358924614,node,openstreetmap,55
Manganese Peak,38.7827709,-106.7436459,peak,3406,358924618,node,openstreetmap,55
Park Cone,38.7966605,-106.6030863,peak,3683,358924627,node,openstreetmap,55
Henry Mountain,38.6855494,-106.6211427,peak,4042,358924642,node,openstreetmap,55
Broncho Mountain,38.6855496,-106.5894751,peak,3904,358924646,node,openstreetmap,55
Square Top Mountain,38.6794383,-106.6111425,peak,3954,358924650,node,openstreetmap,55
Fossil Mountain,38.6707315,-106.6059998,peak,3885,358924653,node,openstreetmap,55
Sheep Mountain,38.6569383,-106.5961422,peak,3739,358924657,node,openstreetmap,55
Terrible Mountain,38.6665011,-106.5379969,peak,3594,358924662,node,openstreetmap,55
Green Mountain,38.6777725,-106.5075284,peak,3873,358924665,node,openstreetmap,55
Fairview Peak,38.6833277,-106.5366959,peak,4029,358924669,node,openstreetmap,55
Cameron Mountain,38.711393,-106.5685239,peak,3597,358924674,node,openstreetmap,55
Cross Mountain,38.7258275,-106.5872526,peak,3798,358924678,node,openstreetmap,55
Signal Peak,38.5783019,-106.8632578,peak,2744,358924698,node,openstreetmap,55
Indian Head,38.541104,-106.6503111,peak,2577,358924707,node,openstreetmap,55
Lookout Mountain,38.5463829,-106.5608642,peak,3383,358924716,node,openstreetmap,551
Islet Mountain,38.6238831,-106.5528078,peak,3349,358924724,node,openstreetmap,55
West Mountain,38.6124943,-106.5433632,peak,3235,358924728,node,openstreetmap,55
Quartz Dome,38.597494,-106.5686418,peak,3444,358924732,node,openstreetmap,55
Copper Mountain,38.5708278,-106.5186406,peak,3188,358924739,node,openstreetmap,551
Ice Mountain,38.9144382,-106.4372486,peak,4220,358924747,node,openstreetmap,55
Mount Kreutzer,38.7611064,-106.4172479,peak,3867,358924768,node,openstreetmap,55
Jones Mountain,38.773229,-106.3939626,peak,3994,358924772,node,openstreetmap,481
Winfield Peak,38.9755485,-106.4980836,peak,3359,358924777,node,openstreetmap,48
Virginia Peak,38.9649931,-106.483361,peak,3979,358924780,node,openstreetmap,48
Cross Mountain,38.9727712,-106.4269706,peak,3919,358924784,node,openstreetmap,481
Middle Mountain,38.9677712,-106.4308596,peak,3968,358924789,node,openstreetmap,481
Browns Peak,38.9560102,-106.4367298,peak,4122,358924793,node,openstreetmap,481
Granite Mountain,38.9402712,-106.4719718,peak,3901,358924801,node,openstreetmap,48
The Three Apostles,38.9194382,-106.4344707,peak,4201,358924805,node,openstreetmap,481
Emerald Peak,38.928883,-106.381136,peak,4232,358924809,node,openstreetmap,481
Iowa Peak,38.9391607,-106.3833583,peak,4209,358924813,node,openstreetmap,481
Mount Belford,38.9606444,-106.3607841,peak,4329.1,358924821,node,openstreetmap,481
Mount Oxford,38.9647162,-106.338912,peak,4315.9,358924825,node,openstreetmap,481
Waverly Mountain,38.9758273,-106.32419,peak,4044,358924829,node,openstreetmap,481
Birthday Peak,38.8813837,-106.3339124,peak,3881,358924836,node,openstreetmap,55
Mount Yale,38.844162,-106.3139118,peak,4328,358924839,node,openstreetmap,481
